trialID,Participant,LayoutBlockNum,ConditionBlockNum,TrialNum,LayoutType,Condition,TargetType,PairCount,SelfRotation,RotateDirection,DecoyAmount,CurrentDecoy,RotationAmount,Baseline,Testing,DecoyBaseline,DecoyTesting,BeginTime,EndTime,ResponsePos_X,ResponsePos_Y,ResponsePos_Z,AnsPos_X,AnsPos_Y,AnsPos_Z,TargetName,ControllerPos_X,ControllerPos_Y,ControllerPoss_Z
P1,2,0,0,2,B,physicalStatic,physicalTarget,1,none,-1,3,0,0,False,True,False,False,100.037000,100.981400,0.590117,0.000000,1.069760,0.800000,0.000000,0.950000,Green Physical Target,0.073842,0.646464,0.072308
P1,3,0,0,3,B,virtualRotate,virtualTarget,0,rotate,0,3,0,40,True,False,False,False,12.012400,13.069350,-0.344524,0.000000,0.967935,-0.298248,0.000000,0.750253,Green Virtual Target,0.017590,0.633716,0.066545
P1,3,0,0,3,B,virtualRotate,virtualTarget,1,rotate,0,3,0,40,True,False,False,False,13.069350,13.831620,0.206490,0.000000,2.280831,0.118316,0.000000,2.623023,Blue Virtual Target,0.056616,0.655387,0.079438
P1,3,0,0,3,B,virtualRotate,virtualTarget,0,rotate,0,3,0,40,False,False,True,False,30.858890,31.678380,-0.361133,0.000000,1.792145,-0.338289,0.000000,1.890647,Dotted Decoy Target,0.032107,0.650562,0.099592
P1,3,0,0,3,B,virtualRotate,virtualTarget,1,rotate,0,3,0,40,False,False,True,False,31.678380,32.345190,0.201377,0.000000,2.784419,0.052473,0.000000,2.874818,Stripes Decoy Target,0.058168,0.658064,0.105002
P1,3,0,0,3,B,virtualRotate,virtualTarget,0,rotate,0,3,0,40,False,False,False,True,37.359140,38.608720,-0.067529,0.000000,2.072754,-0.338289,0.000000,1.890647,Dotted Decoy Target,-0.028050,0.653460,0.108827
P1,3,0,0,3,B,virtualRotate,virtualTarget,1,rotate,0,3,0,40,False,False,False,True,38.608720,39.233580,0.204387,0.000000,3.317701,0.052473,0.000000,2.874818,Stripes Decoy Target,-0.017770,0.665549,0.104871
P1,3,0,0,3,B,virtualRotate,virtualTarget,0,rotate,0,3,1,80,False,False,True,False,56.247440,57.191260,-1.383191,0.000000,2.957315,-1.470035,0.000000,2.902340,Dotted Decoy Target,-0.099427,0.660936,0.081551
P1,3,0,0,3,B,virtualRotate,virtualTarget,1,rotate,0,3,1,80,False,False,True,False,57.191260,57.719020,-1.418540,0.000000,1.604011,-1.318384,0.000000,1.264690,Stripes Decoy Target,-0.118317,0.652097,0.064693
P1,3,0,0,3,B,virtualRotate,virtualTarget,0,rotate,0,3,1,80,False,False,False,True,62.719140,64.066220,-1.236125,0.000000,2.619795,-1.470035,0.000000,2.902340,Dotted Decoy Target,-0.190187,0.725664,0.082540
P1,3,0,0,3,B,virtualRotate,virtualTarget,1,rotate,0,3,1,80,False,False,False,True,64.066220,64.594170,-1.440941,0.000000,1.378061,-1.318384,0.000000,1.264690,Stripes Decoy Target,-0.213343,0.711320,0.024093
P1,3,0,0,3,B,virtualRotate,virtualTarget,0,rotate,0,3,2,0,False,False,True,False,81.620480,82.731660,-0.952416,0.000000,-1.409867,-0.773518,0.000000,-1.355183,Dotted Decoy Target,-0.231541,0.679239,-0.176494
P1,3,0,0,3,B,virtualRotate,virtualTarget,1,rotate,0,3,2,0,False,False,True,False,82.731660,83.398740,-3.018107,0.000000,-1.879081,-2.920831,0.000000,-2.202178,Stripes Decoy Target,-0.267007,0.706957,-0.151461
P1,3,0,0,3,B,virtualRotate,virtualTarget,0,rotate,0,3,2,0,False,False,False,True,88.411540,89.356100,-1.072418,0.000000,-1.505239,-0.773518,0.000000,-1.355183,Dotted Decoy Target,-0.227496,0.668837,-0.171836
P1,3,0,0,3,B,virtualRotate,virtualTarget,1,rotate,0,3,2,0,False,False,False,True,89.356100,90.009010,-2.542054,0.000000,-1.812495,-2.920831,0.000000,-2.202178,Stripes Decoy Target,-0.258174,0.685698,-0.153912
P1,3,0,0,3,B,virtualRotate,virtualTarget,0,rotate,0,3,0,40,False,True,False,False,95.009350,96.759590,-0.402686,0.000000,1.080540,-0.298248,0.000000,0.750253,Green Virtual Target,-0.049568,0.692879,0.023649
P1,3,0,0,3,B,virtualRotate,virtualTarget,1,rotate,0,3,0,40,False,True,False,False,96.759590,97.759520,0.209772,0.000000,2.184403,0.118316,0.000000,2.623023,Blue Virtual Target,0.032607,0.730890,0.049264
P1,4,0,1,0,B,physicalStatic,physicalTarget,0,none,-1,3,0,0,True,False,False,False,12.012980,13.040290,-0.877281,0.000000,1.326017,-0.800000,0.000000,1.450000,Blue Physical Target,0.020568,0.661131,0.031228
P1,4,0,1,0,B,physicalStatic,physicalTarget,1,none,-1,3,0,0,True,False,False,False,13.040290,15.694210,0.918998,0.000000,1.071942,0.800000,0.000000,0.950000,Green Physical Target,0.138457,0.653072,0.033651
P1,4,0,1,0,B,physicalStatic,physicalTarget,0,none,-1,3,0,0,False,False,True,False,32.720310,33.623000,-0.234811,0.000000,2.054484,-0.395445,0.000000,2.208543,Dotted Decoy Target,0.038678,0.659568,0.045276
P1,4,0,1,0,B,physicalStatic,physicalTarget,1,none,-1,3,0,0,False,False,True,False,33.623000,34.275660,0.541791,0.000000,1.137233,0.634143,0.000000,0.909538,Stripes Decoy Target,0.081720,0.648736,0.052611
